benchmark,dtype,mode,streams,loop_iters,unroll,repeats,mean_cycles,median_cycles,stddev_cycles,hmma_steps_per_mma,mean_cycles_per_mma,median_cycles_per_mma,stddev_cycles_per_mma,min_cycles_per_mma,max_cycles_per_mma,mean_cycles_per_hmma_step
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,4,10,467025.30,467012.50,47.50,2,28.50496216,28.50418091,0.00289889,28.50238037,28.50982666,14.25248108
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,8,10,458833.10,458820.00,47.04,2,14.00247498,14.00207520,0.00143552,14.00119019,14.00491333,7.00123749
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,1,10,475226.70,475214.50,47.64,2,58.01107178,58.00958252,0.00581573,58.00585938,58.02075195,29.00553589
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,16,10,1343604.30,1343586.00,27.95,2,10.25088730,10.25074768,0.00021327,10.25074768,10.25121307,5.12544365
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,2,10,495700.40,495694.50,40.04,2,30.25515137,30.25479126,0.00244403,30.25292969,30.26025391,15.12757568
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,4,10,491598.50,491598.50,30.50,2,15.00239563,15.00239563,0.00093079,15.00146484,15.00332642,7.50119782
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,8,10,790618.80,790631.00,24.40,2,12.06388550,12.06407166,0.00037232,12.06314087,12.06407166,6.03194275
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,1,10,487527.80,487509.50,53.18,2,29.75633545,29.75521851,0.00324576,29.75335693,29.76080322,14.87816772
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,16,10,2408633.40,2408609.00,29.88,2,9.18820725,9.18811417,0.00011399,9.18811417,9.18834686,4.59410362
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,2,10,475227.60,475221.50,40.46,2,14.50279541,14.50260925,0.00123483,14.50167847,14.50540161,7.25139771
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,4,10,774235.70,774254.00,27.95,2,11.81389923,11.81417847,0.00042654,11.81324768,11.81417847,5.90694962
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,8,10,1331335.50,1331335.50,30.50,2,10.15728379,10.15728379,0.00023270,10.15705109,10.15751648,5.07864189
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,1,10,581728.80,581741.00,45.65,2,17.75295410,17.75332642,0.00139308,17.75146484,17.75518799,8.87647705
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,16,10,4661556.60,4661581.00,29.88,2,8.89121361,8.89126015,0.00005700,8.89114380,8.89126015,4.44560681
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,2,10,876656.10,876650.00,32.85,2,13.37671051,13.37661743,0.00050124,13.37568665,13.37754822,6.68835525
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,4,10,1433732.50,1433732.50,30.50,2,10.93851090,10.93851090,0.00023270,10.93827820,10.93874359,5.46925545
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,8,10,2515143.70,2515162.00,39.06,2,9.59451179,9.59458160,0.00014900,9.59434891,9.59481430,4.79725590
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4096,1,10,397384.20,397354.00,48.75,4,97.01762695,97.01025391,0.01190085,97.01025391,97.03979492,24.25440674
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4096,16,10,335955.50,335913.00,54.61,4,5.12627411,5.12562561,0.00083331,5.12562561,5.12748718,1.28156853
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4096,2,10,376916.50,376874.00,54.61,4,46.01031494,46.00512695,0.00666648,46.00512695,46.02001953,11.50257873
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4096,4,10,364610.20,364586.00,48.40,4,22.25404053,22.25256348,0.00295410,22.25256348,22.25994873,5.56351013
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4096,8,10,340040.50,340010.00,49.18,4,10.37721252,10.37628174,0.00150085,10.37628174,10.38000488,2.59430313
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,4096,1,10,700514.80,700514.00,46.77,4,85.51206055,85.51196289,0.00570887,85.50476074,85.51965332,21.37801514
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,4096,16,10,618576.20,618594.00,38.83,4,4.71936188,4.71949768,0.00029623,4.71903992,4.71997070,1.17984047
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,4096,2,10,680009.60,680032.00,28.27,4,41.50449219,41.50585938,0.00172573,41.50238037,41.50610352,10.37612305
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,4096,4,10,659566.60,659582.50,52.66,4,20.12837525,20.12886047,0.00160710,20.12619019,20.12991333,5.03209381
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,4096,8,10,634967.20,634979.00,36.23,4,9.68883057,9.68901062,0.00055290,9.68809509,9.68994141,2.42220764
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,4096,1,10,1171578.00,1171554.00,39.80,4,71.50744629,71.50598145,0.00242932,71.50598145,71.51330566,17.87686157
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,4096,16,10,991337.10,991331.00,18.30,4,3.78165093,3.78162766,0.00006981,3.78162766,3.78186035,0.94541273
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,4096,2,10,1126522.60,1126498.00,40.65,4,34.37874145,34.37799072,0.00124047,34.37799072,34.38171387,8.59468536
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,4096,4,10,1081466.60,1081442.00,30.13,4,16.50187073,16.50149536,0.00045981,16.50149536,16.50245667,4.12546768
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,4096,8,10,1036406.30,1036388.00,27.95,4,7.90715256,7.90701294,0.00021327,7.90701294,7.90747833,1.97678814
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,4096,1,10,577637.00,577618.50,53.45,4,17.62808228,17.62751770,0.00163131,17.62658691,17.63034058,4.40702057
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,4096,16,10,1740929.60,1740954.00,29.88,4,3.32055969,3.32060623,0.00005700,3.32048988,3.32060623,0.83013992
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,4096,2,10,868446.80,868459.00,24.40,4,13.25144653,13.25163269,0.00037232,13.25070190,13.25163269,3.31286163
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,4096,4,10,1159278.10,1159272.00,18.30,4,8.84459000,8.84454346,0.00013962,8.84454346,8.84500885,2.21114750
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,8,4096,8,10,1450113.60,1450083.00,49.37,4,5.53174439,5.53162766,0.00018832,5.53162766,5.53209686,1.38293610
