benchmark,dtype,mode,streams,repeat,loop_iters,unroll,total_mma,cycles,cycles_per_mma,sink_lo,sink_hi
bench_empty,none,empty,0,0,4096,1,0,286780,0.00000000,13353452694195345728,595275643012597269
bench_empty,none,empty,0,1,4096,1,0,286841,0.00000000,13353452694195345728,595275643012597269
bench_empty,none,empty,0,2,4096,1,0,286780,0.00000000,13353452694195345728,595275643012597269
bench_empty,none,empty,0,3,4096,1,0,286780,0.00000000,13353452694195345728,595275643012597269
bench_empty,none,empty,0,4,4096,1,0,286780,0.00000000,13353452694195345728,595275643012597269
bench_empty,none,empty,0,5,4096,1,0,286841,0.00000000,13353452694195345728,595275643012597269
bench_empty,none,empty,0,6,4096,1,0,286780,0.00000000,13353452694195345728,595275643012597269
bench_empty,none,empty,0,7,4096,1,0,286780,0.00000000,13353452694195345728,595275643012597269
bench_empty,none,empty,0,8,4096,1,0,286841,0.00000000,13353452694195345728,595275643012597269
bench_empty,none,empty,0,9,4096,1,0,286780,0.00000000,13353452694195345728,595275643012597269
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,0,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,1,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,2,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,3,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,5,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,6,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,7,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,8,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,9,4096,1,4096,2,0.00048828,0,0
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,0,4096,1,4096,454695,111.00952148,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,1,4096,1,4096,454695,111.00952148,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,2,4096,1,4096,454695,111.00952148,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,3,4096,1,4096,454695,111.00952148,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4,4096,1,4096,454755,111.02416992,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,5,4096,1,4096,454695,111.00952148,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,6,4096,1,4096,454756,111.02441406,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,7,4096,1,4096,454695,111.00952148,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,8,4096,1,4096,454816,111.03906250,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,9,4096,1,4096,454695,111.00952148,8070573679429316608,8070573679429316608
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,0,4096,1,4096,2,0.00048828,0,0
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,1,4096,1,4096,2,0.00048828,0,0
