benchmark,mode,loop_iters,unroll,streams,mean_cycles,matched_empty_mean_cycles,delta_cycles,dep_mean_cycles_per_mma,matched_empty_mean_cycles_per_mma,delta_cycles_per_mma,delta_cycles_per_hmma_step
bench_mma_f16_dep,dep,4096,1,1,454719.20,2.00,454717.20,111.01542968,0.00048828,111.01494140,55.50747070
bench_mma_f16_dep,dep,4096,16,1,761944.00,2.00,761942.00,11.62634277,0.00003052,11.62631225,5.81315613
bench_mma_f16_dep,dep,4096,2,1,462923.20,2.00,462921.20,56.50917969,0.00024414,56.50893555,28.25446778
bench_mma_f16_dep,dep,4096,4,1,467025.30,2.00,467023.30,28.50496216,0.00012207,28.50484009,14.25242005
bench_mma_f16_dep,dep,4096,8,1,458833.10,2.00,458831.10,14.00247498,0.00006104,14.00241394,7.00120697
bench_mma_f32acc,fixedc,4096,1,1,397384.20,2.00,397382.20,97.01762695,0.00048828,97.01713867,24.25428467
bench_mma_f32acc,fixedc_indep,4096,1,2,700514.80,2.00,700512.80,85.51206055,0.00024414,85.51181641,21.37795410
bench_mma_f32acc,fixedc_indep,4096,1,4,1171578.00,2.00,1171576.00,71.50744629,0.00012207,71.50732422,17.87683106
bench_mma_f32acc,fixedc_indep,4096,1,8,577637.00,2.00,577635.00,17.62808228,0.00006104,17.62802124,4.40700531
bench_mma_f32acc,fixedc,4096,16,1,335955.50,2.00,335953.50,5.12627411,0.00003052,5.12624359,1.28156090
bench_mma_f32acc,fixedc_indep,4096,16,2,618576.20,2.00,618574.20,4.71936188,0.00001526,4.71934662,1.17983666
bench_mma_f32acc,fixedc_indep,4096,16,4,991337.10,2.00,991335.10,3.78165093,0.00000763,3.78164330,0.94541083
bench_mma_f32acc,fixedc_indep,4096,16,8,1740929.60,2.00,1740927.60,3.32055969,0.00000381,3.32055588,0.83013897
bench_mma_f32acc,fixedc,4096,2,1,376916.50,2.00,376914.50,46.01031494,0.00024414,46.01007080,11.50251770
bench_mma_f32acc,fixedc_indep,4096,2,2,680009.60,2.00,680007.60,41.50449219,0.00012207,41.50437012,10.37609253
bench_mma_f32acc,fixedc_indep,4096,2,4,1126522.60,2.00,1126520.60,34.37874145,0.00006104,34.37868041,8.59467010
bench_mma_f32acc,fixedc_indep,4096,2,8,868446.80,2.00,868444.80,13.25144653,0.00003052,13.25141601,3.31285400
bench_mma_f32acc,fixedc,4096,4,1,364610.20,2.00,364608.20,22.25404053,0.00012207,22.25391846,5.56347962
bench_mma_f32acc,fixedc_indep,4096,4,2,659566.60,2.00,659564.60,20.12837525,0.00006104,20.12831421,5.03207855
bench_mma_f32acc,fixedc_indep,4096,4,4,1081466.60,2.00,1081464.60,16.50187073,0.00003052,16.50184021,4.12546005
bench_mma_f32acc,fixedc_indep,4096,4,8,1159278.10,2.00,1159276.10,8.84459000,0.00001526,8.84457474,2.21114369
bench_mma_f32acc,fixedc,4096,8,1,340040.50,2.00,340038.50,10.37721252,0.00006104,10.37715148,2.59428787
bench_mma_f32acc,fixedc_indep,4096,8,2,634967.20,2.00,634965.20,9.68883057,0.00003052,9.68880005,2.42220001
bench_mma_f32acc,fixedc_indep,4096,8,4,1036406.30,2.00,1036404.30,7.90715256,0.00001526,7.90713730,1.97678433
bench_mma_f32acc,fixedc_indep,4096,8,8,1450113.60,2.00,1450111.60,5.53174439,0.00000763,5.53173676,1.38293419
