benchmark,dtype,mode,streams,repeat,loop_iters,unroll,total_mma,cycles,cycles_per_mma,sink_lo,sink_hi
bench_empty,none,empty,0,0,4096,8,0,565362,0.00000000,4836107857864116544,12495993677528352277
bench_empty,none,empty,0,1,4096,8,0,565301,0.00000000,4836107857864116544,12495993677528352277
bench_empty,none,empty,0,2,4096,8,0,565362,0.00000000,4836107857864116544,12495993677528352277
bench_empty,none,empty,0,3,4096,8,0,565301,0.00000000,4836107857864116544,12495993677528352277
bench_empty,none,empty,0,4,4096,8,0,565362,0.00000000,4836107857864116544,12495993677528352277
bench_empty,none,empty,0,5,4096,8,0,565362,0.00000000,4836107857864116544,12495993677528352277
bench_empty,none,empty,0,6,4096,8,0,565301,0.00000000,4836107857864116544,12495993677528352277
bench_empty,none,empty,0,7,4096,8,0,565423,0.00000000,4836107857864116544,12495993677528352277
bench_empty,none,empty,0,8,4096,8,0,565301,0.00000000,4836107857864116544,12495993677528352277
bench_empty,none,empty,0,9,4096,8,0,565423,0.00000000,4836107857864116544,12495993677528352277
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,0,4096,8,32768,458791,14.00119019,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,1,4096,8,32768,458852,14.00305176,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,2,4096,8,32768,458791,14.00119019,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,3,4096,8,32768,458910,14.00482178,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4,4096,8,32768,458791,14.00119019,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,5,4096,8,32768,458913,14.00491333,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,6,4096,8,32768,458791,14.00119019,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,7,4096,8,32768,458852,14.00305176,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,8,4096,8,32768,458791,14.00119019,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,9,4096,8,32768,458852,14.00305176,8070573679429316608,8070573679429316608
