benchmark,mode,repeat,m,n,k,tile_n,stages,elapsed_ms,gflops,bytes_b_share,checksum
bench_software_dsmem_gemm,remote,5,4096,64,4096,64,4,1.046240,2052.5727,2048,9.000000
bench_software_dsmem_gemm,remote,6,4096,64,4096,64,4,1.046464,2052.1334,2048,9.000000
bench_software_dsmem_gemm,remote,7,4096,64,4096,64,4,1.047040,2051.0044,2048,9.000000
bench_software_dsmem_gemm,remote,8,4096,64,4096,64,4,1.047200,2050.6911,2048,9.000000
bench_software_dsmem_gemm,remote,9,4096,64,4096,64,4,1.046368,2052.3216,2048,9.000000
bench_software_dsmem_gemm,local,0,4096,128,4096,128,1,0.992768,4326.2548,4096,9.000000
bench_software_dsmem_gemm,local,1,4096,128,4096,128,1,0.994208,4319.9888,4096,9.000000
bench_software_dsmem_gemm,local,2,4096,128,4096,128,1,0.991296,4332.6790,4096,9.000000
bench_software_dsmem_gemm,local,3,4096,128,4096,128,1,0.987328,4350.0917,4096,9.000000
bench_software_dsmem_gemm,local,4,4096,128,4096,128,1,0.991680,4331.0011,4096,9.000000
bench_software_dsmem_gemm,local,5,4096,128,4096,128,1,0.992096,4329.1851,4096,9.000000
bench_software_dsmem_gemm,local,6,4096,128,4096,128,1,0.988448,4345.1625,4096,9.000000
bench_software_dsmem_gemm,local,7,4096,128,4096,128,1,0.989664,4339.8236,4096,9.000000
bench_software_dsmem_gemm,local,8,4096,128,4096,128,1,0.992096,4329.1851,4096,9.000000
bench_software_dsmem_gemm,local,9,4096,128,4096,128,1,0.988352,4345.5847,4096,9.000000
bench_software_dsmem_gemm,remote,0,4096,128,4096,128,1,2.293568,1872.6140,4096,9.000000
bench_software_dsmem_gemm,remote,1,4096,128,4096,128,1,2.294784,1871.6215,4096,9.000000
bench_software_dsmem_gemm,remote,2,4096,128,4096,128,1,2.289024,1876.3312,4096,9.000000
bench_software_dsmem_gemm,remote,3,4096,128,4096,128,1,2.291712,1874.1304,4096,9.000000
bench_software_dsmem_gemm,remote,4,4096,128,4096,128,1,2.290400,1875.2040,4096,9.000000
