benchmark,mode,repeat,iters,buffer_bytes,align_bytes,vec_bytes,cycles,bytes,elapsed_ns,bandwidth_gbps,checksum
bench_dsmem_read,local,0,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,local,1,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,local,2,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,local,3,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,local,4,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,local,5,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,local,6,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,local,7,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,local,8,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,local,9,2048,65536,32,4,6537827,134217728,3217434.5472,41.7158,458752
bench_dsmem_read,remote,0,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,remote,1,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,remote,2,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,remote,3,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,remote,4,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,remote,5,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,remote,6,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,remote,7,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,remote,8,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,remote,9,2048,65536,32,4,18787259,134217728,9245698.3268,14.5168,229376
bench_dsmem_read,local,0,2048,65536,32,8,4220650,134217728,2077091.5354,64.6181,65536
bench_dsmem_read,local,1,2048,65536,32,8,4197014,134217728,2065459.6457,64.9820,65536
bench_dsmem_read,local,2,2048,65536,32,8,4213372,134217728,2073509.8425,64.7297,65536
bench_dsmem_read,local,3,2048,65536,32,8,4213372,134217728,2073509.8425,64.7297,65536
bench_dsmem_read,local,4,2048,65536,32,8,4213372,134217728,2073509.8425,64.7297,65536
bench_dsmem_read,local,5,2048,65536,32,8,4197022,134217728,2065463.5827,64.9819,65536
bench_dsmem_read,local,6,2048,65536,32,8,4213370,134217728,2073508.8583,64.7298,65536
bench_dsmem_read,local,7,2048,65536,32,8,4213370,134217728,2073508.8583,64.7298,65536
bench_dsmem_read,local,8,2048,65536,32,8,4213370,134217728,2073508.8583,64.7298,65536
bench_dsmem_read,local,9,2048,65536,32,8,4207261,134217728,2070502.4606,64.8237,65536
bench_dsmem_read,remote,0,2048,65536,32,8,16876197,134217728,8305215.0591,16.1607,16384
bench_dsmem_read,remote,1,2048,65536,32,8,16876197,134217728,8305215.0591,16.1607,16384
bench_dsmem_read,remote,2,2048,65536,32,8,16876197,134217728,8305215.0591,16.1607,16384
bench_dsmem_read,remote,3,2048,65536,32,8,16876197,134217728,8305215.0591,16.1607,16384
bench_dsmem_read,remote,4,2048,65536,32,8,16876197,134217728,8305215.0591,16.1607,16384
bench_dsmem_read,remote,5,2048,65536,32,8,16876197,134217728,8305215.0591,16.1607,16384
bench_dsmem_read,remote,6,2048,65536,32,8,16876197,134217728,8305215.0591,16.1607,16384
bench_dsmem_read,remote,7,2048,65536,32,8,16876197,134217728,8305215.0591,16.1607,16384
bench_dsmem_read,remote,8,2048,65536,32,8,16876197,134217728,8305215.0591,16.1607,16384
