benchmark,mode,repeat,m,n,k,tile_n,stages,elapsed_ms,gflops,bytes_b_share,checksum
bench_software_dsmem_gemm,local,0,4096,64,4096,64,1,0.765568,2805.0854,2048,9.000000
bench_software_dsmem_gemm,local,1,4096,64,4096,64,1,0.764352,2809.5479,2048,9.000000
bench_software_dsmem_gemm,local,2,4096,64,4096,64,1,0.766112,2803.0935,2048,9.000000
bench_software_dsmem_gemm,local,3,4096,64,4096,64,1,0.765856,2804.0305,2048,9.000000
bench_software_dsmem_gemm,local,4,4096,64,4096,64,1,0.763072,2814.2608,2048,9.000000
bench_software_dsmem_gemm,local,5,4096,64,4096,64,1,0.764256,2809.9009,2048,9.000000
bench_software_dsmem_gemm,local,6,4096,64,4096,64,1,0.762848,2815.0871,2048,9.000000
bench_software_dsmem_gemm,local,7,4096,64,4096,64,1,0.763680,2812.0203,2048,9.000000
bench_software_dsmem_gemm,local,8,4096,64,4096,64,1,0.762720,2815.5597,2048,9.000000
bench_software_dsmem_gemm,local,9,4096,64,4096,64,1,0.765120,2806.7278,2048,9.000000
bench_software_dsmem_gemm,remote,0,4096,64,4096,64,1,1.034912,2075.0399,2048,9.000000
bench_software_dsmem_gemm,remote,1,4096,64,4096,64,1,1.035552,2073.7574,2048,9.000000
bench_software_dsmem_gemm,remote,2,4096,64,4096,64,1,1.034432,2076.0026,2048,9.000000
bench_software_dsmem_gemm,remote,3,4096,64,4096,64,1,1.034528,2075.8100,2048,9.000000
bench_software_dsmem_gemm,remote,4,4096,64,4096,64,1,1.033504,2077.8668,2048,9.000000
bench_software_dsmem_gemm,remote,5,4096,64,4096,64,1,1.034528,2075.8100,2048,9.000000
bench_software_dsmem_gemm,remote,6,4096,64,4096,64,1,1.033472,2077.9313,2048,9.000000
bench_software_dsmem_gemm,remote,7,4096,64,4096,64,1,1.033696,2077.4807,2048,9.000000
bench_software_dsmem_gemm,remote,8,4096,64,4096,64,1,1.033312,2078.2530,2048,9.000000
bench_software_dsmem_gemm,remote,9,4096,64,4096,64,1,1.034112,2076.6452,2048,9.000000
