benchmark,mode,loop_iters,unroll,streams,mean_cycles,matched_empty_mean_cycles,delta_cycles,dep_mean_cycles_per_mma,matched_empty_mean_cycles_per_mma,delta_cycles_per_mma,delta_cycles_per_hmma_step
bench_mma_f16_dep,dep,4096,1,1,454743.60,254010.40,200733.20,111.02138672,62.01425781,49.00712891,24.50356445
bench_mma_f16_dep,dep,4096,16,1,761956.20,254016.50,507939.70,11.62652893,3.87598419,7.75054474,3.87527237
bench_mma_f16_dep,dep,4096,2,1,462929.30,253998.20,208931.10,56.50992431,31.00563965,25.50428466,12.75214233
bench_mma_f16_dep,dep,4096,4,1,467025.70,254010.40,213015.30,28.50498657,15.50356446,13.00142211,6.50071106
bench_mma_f16_dep,dep,4096,8,1,458815.10,254004.30,204810.80,14.00192566,7.75159607,6.25032959,3.12516479
bench_mma_f32_dep,dep,4096,1,1,561255.40,335942.40,225313.00,137.02524414,82.01718750,55.00805664,13.75201416
bench_mma_f32_dep,dep,4096,16,1,786541.70,1269868.30,-483326.60,12.00167389,19.37665253,-7.37497864,-1.84374466
bench_mma_f32_dep,dep,4096,2,1,540763.20,389205.70,151557.50,66.01113281,47.51046142,18.50067139,4.62516785
bench_mma_f32_dep,dep,4096,4,1,528475.80,507979.70,20496.10,32.25560303,31.00462036,1.25098267,0.31274567
bench_mma_f32_dep,dep,4096,8,1,499797.60,757836.80,-258039.20,15.25261231,23.12734375,-7.87473144,-1.96868286
bench_mma_f32acc,fixedc,4096,1,1,397396.30,340027.30,57369.00,97.02058106,83.01447754,14.00610352,3.50152588
bench_mma_f32acc,fixedc_indep,4096,1,2,700525.80,405604.90,294920.90,85.51340332,49.51231689,36.00108643,9.00027161
bench_mma_f32acc,fixedc_indep,4096,1,4,1171579.00,536660.60,634918.40,71.50750733,32.75516357,38.75234376,9.68808594
bench_mma_f32acc,fixedc_indep,4096,1,8,577618.50,798937.20,-221318.70,17.62751770,24.38162842,-6.75411072,-1.68852768
bench_mma_f32acc,fixedc,4096,16,1,335949.40,1290346.30,-954396.90,5.12618103,19.68912201,-14.56294098,-3.64073524
bench_mma_f32acc,fixedc_indep,4096,16,2,618582.20,2351286.60,-1732704.40,4.71940765,17.93889312,-13.21948547,-3.30487137
bench_mma_f32acc,fixedc_indep,4096,16,4,991343.20,4448544.30,-3457201.10,3.78167420,16.96984978,-13.18817558,-3.29704390
bench_mma_f32acc,fixedc_indep,4096,16,8,1740948.00,15479084.60,-13738136.60,3.32059479,29.52401085,-26.20341606,-6.55085401
bench_mma_f32acc,fixedc,4096,2,1,376910.50,397395.70,-20485.20,46.00958252,48.51021728,-2.50063476,-0.62515869
bench_mma_f32acc,fixedc_indep,4096,2,2,680046.60,528467.70,151578.90,41.50675049,32.25510864,9.25164185,2.31291046
bench_mma_f32acc,fixedc_indep,4096,2,4,1126516.30,790625.90,335890.40,34.37854919,24.12798767,10.25056152,2.56264038
bench_mma_f32acc,fixedc_indep,4096,2,8,868452.90,1315084.00,-446631.10,13.25153961,20.06658936,-6.81504975,-1.70376244
bench_mma_f32acc,fixedc,4096,4,1,364610.40,520269.70,-155659.30,22.25405274,31.75474243,-9.50068969,-2.37517242
bench_mma_f32acc,fixedc_indep,4096,4,2,659560.50,782425.90,-122865.40,20.12818909,23.87774353,-3.74955444,-0.93738861
bench_mma_f32acc,fixedc_indep,4096,4,4,1081454.80,1306752.50,-225297.70,16.50169067,19.93946075,-3.43777008,-0.85944252
bench_mma_f32acc,fixedc_indep,4096,4,8,1159272.00,3007005.70,-1847733.70,8.84454346,22.94163284,-14.09708938,-3.52427234
bench_mma_f32acc,fixedc,4096,8,1,340034.40,774223.80,-434189.40,10.37702637,23.62743530,-13.25040893,-3.31260223
bench_mma_f32acc,fixedc_indep,4096,8,2,634973.60,1298548.40,-663574.80,9.68892822,19.81427612,-10.12534790,-2.53133697
bench_mma_f32acc,fixedc_indep,4096,8,4,1036406.30,2375840.20,-1339433.90,7.90715256,18.12622223,-10.21906967,-2.55476742
bench_mma_f32acc,fixedc_indep,4096,8,8,1450113.60,5124208.00,-3674094.40,5.53174439,19.54730225,-14.01555786,-3.50388947
