benchmark,mode,loop_iters,unroll,streams,mean_cycles,raw_empty_mean_cycles,delta_vs_raw_empty_cycles,delta_vs_raw_empty_cycles_per_mma,delta_vs_raw_empty_cycles_per_hmma_step,matched_empty_mean_cycles,delta_vs_matched_empty_cycles,delta_vs_matched_empty_cycles_per_mma,delta_vs_matched_empty_cycles_per_hmma_step
bench_mma_f16_dep,dep,4096,1,1,454743.60,286810.50,167933.10,40.99929199,20.49964600,254010.40,200733.20,49.00712891,24.50356445
bench_mma_f16_dep,dep,4096,16,1,761956.20,819303.90,-57347.70,-0.87505646,-0.43752823,254016.50,507939.70,7.75054474,3.87527237
bench_mma_f16_dep,dep,4096,2,1,462929.30,286804.40,176124.90,21.49962158,10.74981079,253998.20,208931.10,25.50428467,12.75214233
bench_mma_f16_dep,dep,4096,4,1,467025.70,393312.60,73713.10,4.49909058,2.24954529,254010.40,213015.30,13.00142212,6.50071106
bench_mma_f16_dep,dep,4096,8,1,458815.10,565355.90,-106540.80,-3.25136719,-1.62568359,254004.30,204810.80,6.25032959,3.12516479
bench_mma_f32_dep,dep,4096,1,1,561255.40,286810.50,274444.90,67.00314941,16.75078735,335942.40,225313.00,55.00805664,13.75201416
bench_mma_f32_dep,dep,4096,16,1,786541.70,819303.90,-32762.20,-0.49991150,-0.12497787,1269868.30,-483326.60,-7.37497864,-1.84374466
bench_mma_f32_dep,dep,4096,2,1,540763.20,286804.40,253958.80,31.00083008,7.75020752,389205.70,151557.50,18.50067139,4.62516785
bench_mma_f32_dep,dep,4096,4,1,528475.80,393312.60,135163.20,8.24970703,2.06242676,507979.70,20496.10,1.25098267,0.31274567
bench_mma_f32_dep,dep,4096,8,1,499797.60,565355.90,-65558.30,-2.00068054,-0.50017014,757836.80,-258039.20,-7.87473145,-1.96868286
bench_mma_f32acc,fixedc,4096,1,1,397396.30,286810.50,110585.80,26.99848633,6.74962158,340027.30,57369.00,14.00610352,3.50152588
bench_mma_f32acc,fixedc_indep,4096,1,2,700525.80,286810.50,413715.30,50.50235596,12.62558899,405604.90,294920.90,36.00108643,9.00027161
bench_mma_f32acc,fixedc_indep,4096,1,4,1171579.00,286810.50,884768.50,54.00198364,13.50049591,536660.60,634918.40,38.75234375,9.68808594
bench_mma_f32acc,fixedc_indep,4096,1,8,577618.50,286810.50,290808.00,8.87475586,2.21868896,798937.20,-221318.70,-6.75411072,-1.68852768
bench_mma_f32acc,fixedc,4096,16,1,335949.40,819303.90,-483354.50,-7.37540436,-1.84385109,1290346.30,-954396.90,-14.56294098,-3.64073524
bench_mma_f32acc,fixedc_indep,4096,16,2,618582.20,819303.90,-200721.70,-1.53138504,-0.38284626,2351286.60,-1732704.40,-13.21948547,-3.30487137
bench_mma_f32acc,fixedc_indep,4096,16,4,991343.20,819303.90,172039.30,0.65627785,0.16406946,4448544.30,-3457201.10,-13.18817558,-3.29704390
bench_mma_f32acc,fixedc_indep,4096,16,8,1740948.00,819303.90,921644.10,1.75789661,0.43947415,15479084.60,-13738136.60,-26.20341606,-6.55085402
bench_mma_f32acc,fixedc,4096,2,1,376910.50,286804.40,90106.10,10.99927979,2.74981995,397395.70,-20485.20,-2.50063477,-0.62515869
bench_mma_f32acc,fixedc_indep,4096,2,2,680046.60,286804.40,393242.20,24.00159912,6.00039978,528467.70,151578.90,9.25164185,2.31291046
bench_mma_f32acc,fixedc_indep,4096,2,4,1126516.30,286804.40,839711.90,25.62597351,6.40649338,790625.90,335890.40,10.25056152,2.56264038
bench_mma_f32acc,fixedc_indep,4096,2,8,868452.90,286804.40,581648.50,8.87525177,2.21881294,1315084.00,-446631.10,-6.81504974,-1.70376244
bench_mma_f32acc,fixedc,4096,4,1,364610.40,393312.60,-28702.20,-1.75184326,-0.43796082,520269.70,-155659.30,-9.50068970,-2.37517242
bench_mma_f32acc,fixedc_indep,4096,4,2,659560.50,393312.60,266247.90,8.12524109,2.03131027,782425.90,-122865.40,-3.74955444,-0.93738861
bench_mma_f32acc,fixedc_indep,4096,4,4,1081454.80,393312.60,688142.20,10.50021667,2.62505417,1306752.50,-225297.70,-3.43777008,-0.85944252
bench_mma_f32acc,fixedc_indep,4096,4,8,1159272.00,393312.60,765959.40,5.84380646,1.46095161,3007005.70,-1847733.70,-14.09708939,-3.52427235
bench_mma_f32acc,fixedc,4096,8,1,340034.40,565355.90,-225321.50,-6.87626648,-1.71906662,774223.80,-434189.40,-13.25040894,-3.31260223
bench_mma_f32acc,fixedc_indep,4096,8,2,634973.60,565355.90,69617.70,1.06228180,0.26557045,1298548.40,-663574.80,-10.12534790,-2.53133698
bench_mma_f32acc,fixedc_indep,4096,8,4,1036406.30,565355.90,471050.40,3.59382935,0.89845734,2375840.20,-1339433.90,-10.21906967,-2.55476742
bench_mma_f32acc,fixedc_indep,4096,8,8,1450113.60,565355.90,884757.70,3.37508278,0.84377069,5124208.00,-3674094.40,-14.01555786,-3.50388947
