benchmark,dtype,mode,streams,loop_iters,unroll,repeats,mean_cycles,median_cycles,stddev_cycles,hmma_steps_per_mma,mean_cycles_per_mma,median_cycles_per_mma,stddev_cycles_per_mma,min_cycles_per_mma,max_cycles_per_mma,mean_cycles_per_hmma_step
bench_empty,none,empty,0,4096,1,10,286810.50,286780.00,49.18,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,16,10,819303.90,819310.00,42.70,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,2,10,286804.40,286780.00,40.46,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,4,10,393312.60,393276.00,48.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,8,10,565355.90,565362.00,50.67,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,1,10,254010.40,253986.00,48.80,2,62.01425781,62.00830078,0.01191406,62.00830078,62.03808594,31.00712891
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,16,10,254016.50,253986.00,49.18,2,3.87598419,3.87551880,0.00075042,3.87551880,3.87738037,1.93799210
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,2,10,253998.20,253986.00,24.40,2,31.00563965,31.00415039,0.00297852,31.00415039,31.01159668,15.50281982
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,4,10,254010.40,253986.00,48.80,2,15.50356446,15.50207520,0.00297851,15.50207520,15.50952148,7.75178223
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,8,10,254004.30,253986.00,39.06,2,7.75159607,7.75103760,0.00119199,7.75103760,7.75476074,3.87579804
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,1,10,340027.30,340009.00,39.06,4,83.01447754,83.01000977,0.00953590,83.01000977,83.03979492,20.75361939
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,16,10,1290346.30,1290328.00,27.95,4,19.68912201,19.68884277,0.00042654,19.68884277,19.68977356,4.92228050
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,2,10,397395.70,397353.00,54.90,4,48.51021728,48.50500488,0.00670166,48.50500488,48.51989746,12.12755432
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,4,10,520269.70,520257.50,47.64,4,31.75474243,31.75399781,0.00290787,31.75213623,31.75958252,7.93868561
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,8,10,774223.80,774236.00,36.60,4,23.62743530,23.62780762,0.00111695,23.62594604,23.62966919,5.90685883
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,2,4096,1,10,405604.90,405580.50,57.55,4,49.51231689,49.50933837,0.00702482,49.50561523,49.52050781,12.37807922
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,2,4096,16,10,2351286.60,2351280.50,40.46,4,17.93889312,17.93884659,0.00030871,17.93861389,17.93954468,4.48472328
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,2,4096,2,10,528467.70,528455.50,47.64,4,32.25510864,32.25436402,0.00290787,32.25250244,32.25994873,8.06377716
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,2,4096,4,10,782425.90,782432.00,32.85,4,23.87774353,23.87792969,0.00100249,23.87606812,23.87979126,5.96943588
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,2,4096,8,10,1298548.40,1298524.00,29.88,4,19.81427612,19.81390381,0.00045599,19.81390381,19.81483459,4.95356903
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,4,4096,1,10,536660.60,536654.50,40.46,4,32.75516357,32.75479126,0.00246965,32.75292969,32.76037598,8.18879089
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,4,4096,16,10,4448544.30,4448526.00,27.95,4,16.96984978,16.96977997,0.00010663,16.96977997,16.97001266,4.24246244
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,4,4096,2,10,790625.90,790632.00,32.85,4,24.12798767,24.12817383,0.00100249,24.12631226,24.13003540,6.03199692
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,4,4096,4,10,1306752.50,1306722.00,49.18,4,19.93946075,19.93899536,0.00075042,19.93899536,19.94085693,4.98486519
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,4,4096,8,10,2375840.20,2375828.00,24.40,4,18.12622223,18.12612915,0.00018616,18.12612915,18.12659454,4.53155556
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,4096,1,10,798937.20,798955.00,28.07,4,24.38162842,24.38217163,0.00085654,24.38031006,24.38220215,6.09540710
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,4096,16,10,15479084.60,15479082.00,19.55,4,29.52401085,29.52400589,0.00003729,29.52396011,29.52407646,7.38100271
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,4096,2,10,1315084.00,1315107.50,31.05,4,20.06658936,20.06694794,0.00047386,20.06600952,20.06700134,5.01664734
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,4096,4,10,3007005.70,3007008.50,24.91,4,22.94163284,22.94165420,0.00019007,22.94122314,22.94194794,5.73540821
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,8,4096,8,10,5124208.00,5124213.00,10.00,4,19.54730225,19.54732132,0.00003815,19.54722595,19.54732132,4.88682556
bench_empty_matched_f32dep,f32_f16_f16_f32,empty_matched_f32dep,1,4096,1,10,335942.40,335918.00,40.46,4,82.01718750,82.01123047,0.00987862,82.01123047,82.04101562,20.50429688
bench_empty_matched_f32dep,f32_f16_f16_f32,empty_matched_f32dep,1,4096,16,10,1269868.30,1269850.00,27.95,4,19.37665253,19.37637329,0.00042654,19.37637329,19.37730408,4.84416313
bench_empty_matched_f32dep,f32_f16_f16_f32,empty_matched_f32dep,1,4096,2,10,389205.70,389163.00,54.90,4,47.51046142,47.50524902,0.00670166,47.50524902,47.52014160,11.87761536
bench_empty_matched_f32dep,f32_f16_f16_f32,empty_matched_f32dep,1,4096,4,10,507979.70,507943.00,48.98,4,31.00462036,31.00238037,0.00298924,31.00238037,31.00988770,7.75115509
bench_empty_matched_f32dep,f32_f16_f16_f32,empty_matched_f32dep,1,4096,8,10,757836.80,757824.50,47.81,4,23.12734375,23.12696838,0.00145903,23.12603760,23.12979126,5.78183594
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,1,10,454743.60,454725.00,53.02,2,111.02138672,111.01684570,0.01294415,111.00952148,111.03930664,55.51069336
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,16,10,761956.20,761951.00,41.55,2,11.62652893,11.62644958,0.00063399,11.62551880,11.62733459,5.81326446
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,2,10,462929.30,462917.00,47.36,2,56.50992431,56.50842285,0.00578156,56.50476074,56.51965332,28.25496216
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,4,10,467025.70,466983.00,54.90,2,28.50498657,28.50238037,0.00335083,28.50238037,28.50982666,14.25249329
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,8,10,458815.10,458791.00,29.53,2,14.00192566,14.00119019,0.00090112,14.00119019,14.00305176,7.00096283
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,1,10,475208.40,475184.00,40.46,2,58.00883789,58.00585938,0.00493931,58.00585938,58.02075195,29.00441895
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,16,10,1343616.30,1343586.00,40.47,2,10.25097885,10.25074768,0.00030880,10.25074768,10.25166321,5.12548942
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,2,10,495706.70,495694.50,47.64,2,30.25553589,30.25479126,0.00290787,30.25292969,30.26037598,15.12776794
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,4,10,491604.60,491598.50,40.46,2,15.00258179,15.00239563,0.00123483,15.00146484,15.00518799,7.50129089
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,8,10,790618.80,790631.00,24.40,2,12.06388550,12.06407166,0.00037232,12.06314087,12.06407166,6.03194275
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,1,10,487521.70,487509.50,47.64,2,29.75596313,29.75521851,0.00290787,29.75335693,29.76080322,14.87798157
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,16,10,2408645.60,2408609.00,48.80,2,9.18825379,9.18811417,0.00018616,9.18811417,9.18857956,4.59412689
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,2,10,475215.40,475191.00,40.46,2,14.50242310,14.50167847,0.00123483,14.50167847,14.50540161,7.25121155
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,4,10,774254.00,774254.00,38.58,2,11.81417847,11.81417847,0.00058868,11.81324768,11.81510925,5.90708923
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4096,8,10,1331323.30,1331305.00,27.95,2,10.15719071,10.15705109,0.00021327,10.15705109,10.15751648,5.07859535
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,1,10,581734.90,581710.50,57.55,2,17.75314026,17.75239563,0.00175621,17.75146484,17.75518799,8.87657013
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,16,10,4661556.60,4661550.50,40.46,2,8.89121361,8.89120198,0.00007718,8.89114380,8.89137650,4.44560681
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,2,10,876650.00,876650.00,27.28,2,13.37661743,13.37661743,0.00041626,13.37568665,13.37754822,6.68830872
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,4,10,1433732.50,1433702.00,40.92,2,10.93851090,10.93827820,0.00031219,10.93827820,10.93920898,5.46925545
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4096,8,10,2515137.60,2515101.00,48.80,2,9.59448853,9.59434891,0.00018616,9.59434891,9.59481430,4.79724426
bench_mma_f32_dep,f32_f16_f16_f32,dep,1,4096,1,10,561255.40,561254.00,54.34,4,137.02524414,137.02490234,0.01326751,137.01049805,137.04028320,34.25631104
bench_mma_f32_dep,f32_f16_f16_f32,dep,1,4096,16,10,786541.70,786530.00,45.38,4,12.00167389,12.00149536,0.00069249,12.00056458,12.00242615,3.00041847
bench_mma_f32_dep,f32_f16_f16_f32,dep,1,4096,2,10,540763.20,540744.50,52.59,4,66.01113281,66.00885009,0.00641927,66.00524902,66.02014160,16.50278320
bench_mma_f32_dep,f32_f16_f16_f32,dep,1,4096,4,10,528475.80,528457.50,53.18,4,32.25560303,32.25448608,0.00324576,32.25262451,32.26007080,8.06390076
bench_mma_f32_dep,f32_f16_f16_f32,dep,1,4096,8,10,499797.60,499785.00,47.61,4,15.25261231,15.25222779,0.00145279,15.25131226,15.25503540,3.81315308
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4096,1,10,397396.30,397354.00,54.43,4,97.02058106,97.01025391,0.01328944,97.01025391,97.03979492,24.25514526
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4096,16,10,335949.40,335913.00,48.45,4,5.12618103,5.12562561,0.00073929,5.12562561,5.12747192,1.28154526
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4096,2,10,376910.50,376874.00,48.63,4,46.00958252,46.00512695,0.00593574,46.00512695,46.02001953,11.50239563
