variant,schedule,ab_stages,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
ws_stage6_regular_store,warp_specialized_regular_store,6,8192,8192,64,0.065243202,131.660223130,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws6r_m8192_n8192_k64_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_regular_store.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage7_regular_store,warp_specialized_regular_store,7,8192,8192,64,0.063571203,135.123046596,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws7r_m8192_n8192_k64_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_stage7_regular_store.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage6_regular_store,warp_specialized_regular_store,6,8192,8192,128,0.069102401,248.614650858,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws6r_m8192_n8192_k128_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_regular_store.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage7_regular_store,warp_specialized_regular_store,7,8192,8192,128,0.067787200,253.438246898,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws7r_m8192_n8192_k128_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_stage7_regular_store.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage6_regular_store,warp_specialized_regular_store,6,8192,8192,256,0.077534401,443.154751183,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws6r_m8192_n8192_k256_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_regular_store.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage7_regular_store,warp_specialized_regular_store,7,8192,8192,256,0.076369601,449.913809925,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws7r_m8192_n8192_k256_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_stage7_regular_store.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage6_regular_store,warp_specialized_regular_store,6,8192,8192,512,0.094726402,725.452203387,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws6r_m8192_n8192_k512_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_regular_store.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage7_regular_store,warp_specialized_regular_store,7,8192,8192,512,0.093967998,731.307234147,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws7r_m8192_n8192_k512_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_stage7_regular_store.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage6_regular_store,warp_specialized_regular_store,6,8192,8192,1024,0.129056001,1064.955931661,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws6r_m8192_n8192_k1024_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_regular_store.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage7_regular_store,warp_specialized_regular_store,7,8192,8192,1024,0.127919996,1074.413367737,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws7r_m8192_n8192_k1024_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_stage7_regular_store.py --mnk 8192,8192,1024 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage6_regular_store,warp_specialized_regular_store,6,8192,8192,2048,0.194900799,1410.347769941,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws6r_m8192_n8192_k2048_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_regular_store.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage7_regular_store,warp_specialized_regular_store,7,8192,8192,2048,0.193686402,1419.190528230,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws7r_m8192_n8192_k2048_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_stage7_regular_store.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage6_regular_store,warp_specialized_regular_store,6,8192,8192,4096,0.325289607,1690.050348909,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws6r_m8192_n8192_k4096_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_regular_store.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage7_regular_store,warp_specialized_regular_store,7,8192,8192,4096,0.323518395,1699.303105060,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws7r_m8192_n8192_k4096_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_stage7_regular_store.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage6_regular_store,warp_specialized_regular_store,6,8192,8192,8192,0.625315189,1758.331872441,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws6r_m8192_n8192_k8192_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_regular_store.py --mnk 8192,8192,8192 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
ws_stage7_regular_store,warp_specialized_regular_store,7,8192,8192,8192,0.625387192,1758.129431240,20,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_153923/ws7r_m8192_n8192_k8192_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_stage7_regular_store.py --mnk 8192,8192,8192 --do_benchmark --warmup_iterations 3 --iterations 20 --skip_ref_check"
