variant,schedule,ab_stages,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
sw_stage7,sw_pipeline,7,8192,8192,128,0.071992002,238.635804229,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k128_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,128,0.072052159,238.436562466,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k128_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,128,0.072125440,238.194307984,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k128_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,128,0.057553601,298.502071224,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k128_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,128,0.057518721,298.683089554,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k128_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,128,0.057559361,298.472198942,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k128_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,256,0.082376003,417.108587525,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k256_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,256,0.082216320,417.918709475,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k256_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,256,0.082316799,417.408581444,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k256_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,256,0.080827522,425.099488388,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k256_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
