variant,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
sw_pipeline,8192,8192,256,473.220976563,0.072608232,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k256_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,256,471.781445313,0.072829779,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k256_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,256,470.448398437,0.073036147,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k256_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,256,782.655937500,0.043901460,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k256_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,256,782.178046875,0.043928283,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k256_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,256,778.880468750,0.044114264,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k256_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,256 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,512,476.066210937,0.144348570,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k512_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,512,473.551015625,0.145115256,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k512_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,512,475.538750000,0.144508679,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k512_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,512,781.631640625,0.087917982,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k512_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,512,783.599531250,0.087697190,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k512_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,512,779.237578125,0.088188094,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k512_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,512 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
