variant,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
sw_pipeline,8192,8192,64,0.068071361,126.190141020,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/sw_m8192_n8192_k64_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,64,0.067992640,126.336242421,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/sw_m8192_n8192_k64_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,64,0.067954879,126.406444140,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/sw_m8192_n8192_k64_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,64,778.650625000,0.011031821,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/ws_m8192_n8192_k64_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,64,782.174453125,0.010982121,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/ws_m8192_n8192_k64_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,64,787.087109375,0.010913575,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/ws_m8192_n8192_k64_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,128,0.071885438,238.989559920,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/sw_m8192_n8192_k128_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,128,0.072067518,238.385747212,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/sw_m8192_n8192_k128_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,128,0.071991682,238.636863234,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/sw_m8192_n8192_k128_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,128,781.139375000,0.021993347,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/ws_m8192_n8192_k128_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,128,780.680078125,0.022006286,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/ws_m8192_n8192_k128_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,128,778.819296875,0.022058864,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_082900/ws_m8192_n8192_k128_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
