status,error,hidden_dim,num_heads,head_dim,seq_len,cluster_size,num_threads,dtype,seed,output_max_abs_vs_sglang_layer,output_mean_abs_vs_sglang_layer,output_rel_l2_vs_sglang_layer,k_max_abs_vs_sglang_layer,k_mean_abs_vs_sglang_layer,k_rel_l2_vs_sglang_layer,v_max_abs_vs_sglang_layer,v_mean_abs_vs_sglang_layer,v_rel_l2_vs_sglang_layer,local_output_max_abs_vs_sglang_layer,local_output_mean_abs_vs_sglang_layer,local_output_rel_l2_vs_sglang_layer,subgraph_output_max_abs_vs_sglang_layer,subgraph_output_mean_abs_vs_sglang_layer,subgraph_output_rel_l2_vs_sglang_layer,tc_output_max_abs_vs_sglang_layer,tc_output_mean_abs_vs_sglang_layer,tc_output_rel_l2_vs_sglang_layer,tc_k_max_abs_vs_sglang_layer,tc_k_mean_abs_vs_sglang_layer,tc_k_rel_l2_vs_sglang_layer,tc_v_max_abs_vs_sglang_layer,tc_v_mean_abs_vs_sglang_layer,tc_v_rel_l2_vs_sglang_layer,local_pytorch_ref_ms,sglang_subgraph_ref_ms,sglang_layer_ref_ms,cute_megakernel_ms,tc_megakernel_ms
ok,,4096,32,128,512,2,128,float16,42,4.0,0.07570213079452515,0.00013147112622391433,0.0625,0.00015564949717372656,4.062639345647767e-05,0.125,0.0002802833914756775,5.805667751701549e-05,4.0,0.078194260597229,0.00013060172204859555,0.0,0.0,0.0,1.0,0.0006420910358428955,7.515266588598024e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.982675170898437,0.8693632125854492,339.78505859375,2.3006464004516602,0.39616639614105226
ok,,4096,32,128,512,4,128,float16,42,4.0,0.07752741128206253,0.00013029479305259883,0.0625,0.00017040420789271593,4.3286505388095975e-05,0.0625,0.0002526380121707916,4.9928337830351666e-05,4.0,0.078194260597229,0.00013060172204859555,0.0,0.0,0.0,1.0,0.0006420910358428955,7.515266588598024e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.027475357055664,0.8733056068420411,339.108935546875,1.264742374420166,0.4009280204772949
ok,,4096,32,128,2048,2,128,float16,42,4.0,0.0708501935005188,0.00012848078040406108,0.0625,0.00015564949717372656,4.062639345647767e-05,0.125,0.0002802833914756775,5.805667751701549e-05,4.0,0.0720968246459961,0.00012791421613655984,0.0,0.0,0.0,2.0,0.002146899700164795,2.0345272787380964e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.044134521484375,0.8777088165283203,346.3726318359375,3.0538368225097656,0.4001728057861328
ok,,4096,32,128,2048,4,128,float16,42,4.0,0.07168352603912354,0.0001258573029190302,0.0625,0.00017040420789271593,4.3286505388095975e-05,0.0625,0.0002526380121707916,4.9928337830351666e-05,4.0,0.0720968246459961,0.00012791421613655984,0.0,0.0,0.0,2.0,0.002146899700164795,2.0345272787380964e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.018668746948242,0.8666687965393066,341.4484375,1.5841471672058105,0.3963327884674072
ok,,4096,32,128,4096,2,128,float16,42,4.0,0.06341147422790527,0.00011294243449810892,0.0625,0.00015564949717372656,4.062639345647767e-05,0.125,0.0002802833914756775,5.805667751701549e-05,4.0,0.073638916015625,0.00012462066661100835,0.0,0.0,0.0,2.0,0.001749873161315918,1.9317452824907377e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.050259017944336,0.9085951805114746,341.3726806640625,4.040447998046875,0.41660161018371583
ok,,4096,32,128,4096,4,128,float16,42,4.0,0.07448649406433105,0.0001252136571565643,0.0625,0.00017040420789271593,4.3286505388095975e-05,0.0625,0.0002526380121707916,4.9928337830351666e-05,4.0,0.073638916015625,0.00012462066661100835,0.0,0.0,0.0,2.0,0.001749873161315918,1.9317452824907377e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.990214538574219,0.896390438079834,339.806689453125,2.13177604675293,0.4124095916748047
