status,error,hidden_dim,num_heads,head_dim,seq_len,cluster_size,num_threads,dtype,seed,output_max_abs_vs_sglang_layer,output_mean_abs_vs_sglang_layer,k_max_abs_vs_sglang_layer,k_mean_abs_vs_sglang_layer,v_max_abs_vs_sglang_layer,v_mean_abs_vs_sglang_layer,local_output_max_abs_vs_sglang_layer,local_output_mean_abs_vs_sglang_layer,subgraph_output_max_abs_vs_sglang_layer,subgraph_output_mean_abs_vs_sglang_layer,local_pytorch_ref_ms,sglang_subgraph_ref_ms,sglang_layer_ref_ms,cute_megakernel_ms
ok,,256,4,64,128,2,128,float16,42,0.125,0.0013980865478515625,0.015625,6.103515625e-05,0.0,0.0,0.125,0.0013065338134765625,0.0,0.0,1.0021696090698242,0.8275152206420898,2.9778255462646483,0.3050319910049438
ok,,256,4,64,128,4,128,float16,42,0.125,0.0013980865478515625,0.015625,6.103515625e-05,0.0,0.0,0.125,0.0013065338134765625,0.0,0.0,1.0083583831787108,0.860324764251709,2.8811487197875976,0.2528208017349243
ok,,256,4,64,512,2,128,float16,42,0.0625,0.0013566911220550537,0.015625,6.103515625e-05,0.0,0.0,0.0625,0.001356661319732666,0.0,0.0,1.0169520378112793,0.8705072402954102,2.919700813293457,0.4367248058319092
ok,,256,4,64,512,4,128,float16,42,0.0625,0.0013566911220550537,0.015625,6.103515625e-05,0.0,0.0,0.0625,0.001356661319732666,0.0,0.0,1.0088496208190918,0.8676959991455078,2.889251136779785,0.3117664098739624
ok,,256,4,64,2048,2,128,float16,42,0.015625,6.151199340820312e-05,0.015625,6.103515625e-05,0.0,0.0,0.015625,0.00022602081298828125,0.0,0.0,1.0141872406005858,0.8312432289123535,2.9029024124145506,0.9969056129455567
ok,,256,4,64,2048,4,128,float16,42,0.015625,6.151199340820312e-05,0.015625,6.103515625e-05,0.0,0.0,0.015625,0.00022602081298828125,0.0,0.0,1.0141759872436524,0.8381376266479492,2.9086767196655274,0.5511568069458008
ok,,256,4,64,4096,2,128,float16,42,0.015625,0.0001220703125,0.015625,6.103515625e-05,0.0,0.0,0.015625,0.0001220703125,0.0,0.0,1.0100288391113281,0.8349295616149902,2.90230712890625,1.7571599960327149
ok,,256,4,64,4096,4,128,float16,42,0.015625,0.0001220703125,0.015625,6.103515625e-05,0.0,0.0,0.015625,0.0001220703125,0.0,0.0,1.084830379486084,0.8399680137634278,3.00469913482666,0.8748080253601074
ok,,4096,32,128,128,2,128,float16,42,4.0,0.07690423727035522,0.0625,0.00015564949717372656,0.125,0.0002802833914756775,4.0,0.0766061544418335,0.0,0.0,6.025233459472656,0.8470288276672363,346.901611328125,2.238211250305176
ok,,4096,32,128,128,4,128,float16,42,4.0,0.07598799467086792,0.0625,0.00017040420789271593,0.0625,0.0002526380121707916,4.0,0.0766061544418335,0.0,0.0,5.898852920532226,0.8549663543701171,345.74150390625,1.2404000282287597
ok,,4096,32,128,512,2,128,float16,42,4.0,0.07598203420639038,0.0625,0.00015564949717372656,0.125,0.0002802833914756775,4.0,0.078194260597229,0.0,0.0,5.972225570678711,0.8508111953735351,343.6486572265625,2.761076736450195
ok,,4096,32,128,512,4,128,float16,42,4.0,0.07708881795406342,0.0625,0.00017040420789271593,0.0625,0.0002526380121707916,4.0,0.078194260597229,0.0,0.0,5.875740814208984,0.8433376312255859,344.4269287109375,1.5461695671081543
ok,,4096,32,128,2048,2,128,float16,42,4.0,0.07105153799057007,0.0625,0.00015564949717372656,0.125,0.0002802833914756775,4.0,0.0720968246459961,0.0,0.0,5.914896011352539,0.8642095565795899,344.7940185546875,4.862416076660156
ok,,4096,32,128,2048,4,128,float16,42,4.0,0.07187265157699585,0.0625,0.00017040420789271593,0.0625,0.0002526380121707916,4.0,0.0720968246459961,0.0,0.0,5.819432067871094,0.8497823715209961,343.4249267578125,2.823419189453125
ok,,4096,32,128,4096,2,128,float16,42,4.0,0.06327056884765625,0.0625,0.00015564949717372656,0.125,0.0002802833914756775,4.0,0.073638916015625,0.0,0.0,5.908214569091797,0.8870143890380859,345.1810791015625,7.594961547851563
ok,,4096,32,128,4096,4,128,float16,42,4.0,0.07448840141296387,0.0625,0.00017040420789271593,0.0625,0.0002526380121707916,4.0,0.073638916015625,0.0,0.0,5.902627182006836,0.8756447792053222,344.1456298828125,4.717934417724609
