benchmark,dtype,mode,streams,loop_iters,unroll,repeats,mean_cycles,median_cycles,stddev_cycles,hmma_steps_per_mma,mean_cycles_per_mma,median_cycles_per_mma,stddev_cycles_per_mma,min_cycles_per_mma,max_cycles_per_mma,mean_cycles_per_hmma_step
bench_empty,none,empty,0,4096,1,10,286804.40,286780.00,40.46,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,16,10,819310.00,819310.00,38.58,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,2,10,286810.50,286780.00,49.18,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,4,10,393300.40,393276.00,29.88,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,8,10,565349.80,565331.50,53.18,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,1,10,254016.50,253986.00,49.18,2,62.01574707,62.00830078,0.01200678,62.00830078,62.03808594,31.00787354
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,16,10,254016.50,253986.00,49.18,2,3.87598419,3.87551880,0.00075042,3.87551880,3.87738037,1.93799210
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,2,10,254004.30,253986.00,39.06,2,31.00638428,31.00415039,0.00476795,31.00415039,31.01904297,15.50319214
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,4,10,254010.40,253986.00,48.80,2,15.50356446,15.50207520,0.00297851,15.50207520,15.50952148,7.75178223
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,8,10,254010.40,253986.00,48.80,2,7.75178223,7.75103760,0.00148926,7.75103760,7.75476074,3.87589111
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,1,10,340033.40,340009.00,40.46,4,83.01596680,83.01000977,0.00987862,83.01000977,83.03979492,20.75399170
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,16,10,1290358.50,1290328.00,40.92,4,19.68930816,19.68884277,0.00062439,19.68884277,19.69070435,4.92232704
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,2,10,397377.40,397353.00,29.88,4,48.50798340,48.50500488,0.00364792,48.50500488,48.51245117,12.12699585
