benchmark,mode,repeat,m,n,k,tile_n,stages,elapsed_ms,gflops,bytes_b_share,checksum
bench_software_dsmem_gemm,local,0,4096,64,4096,64,1,0.769856,2789.4616,2048,9.000000
bench_software_dsmem_gemm,local,1,4096,64,4096,64,1,0.765632,2804.8511,2048,9.000000
bench_software_dsmem_gemm,local,2,4096,64,4096,64,1,0.769760,2789.8093,2048,9.000000
bench_software_dsmem_gemm,local,3,4096,64,4096,64,1,0.767424,2798.3014,2048,9.000000
bench_software_dsmem_gemm,local,4,4096,64,4096,64,1,0.767616,2797.6016,2048,9.000000
bench_software_dsmem_gemm,local,5,4096,64,4096,64,1,0.771232,2784.4846,2048,9.000000
bench_software_dsmem_gemm,local,6,4096,64,4096,64,1,0.769248,2791.6662,2048,9.000000
bench_software_dsmem_gemm,local,7,4096,64,4096,64,1,0.771232,2784.4846,2048,9.000000
bench_software_dsmem_gemm,local,8,4096,64,4096,64,1,0.764064,2810.6070,2048,9.000000
bench_software_dsmem_gemm,local,9,4096,64,4096,64,1,0.767552,2797.8347,2048,9.000000
bench_software_dsmem_gemm,remote,0,4096,64,4096,64,1,1.035488,2073.8856,2048,9.000000
bench_software_dsmem_gemm,remote,1,4096,64,4096,64,1,1.035552,2073.7574,2048,9.000000
bench_software_dsmem_gemm,remote,2,4096,64,4096,64,1,1.035008,2074.8475,2048,9.000000
bench_software_dsmem_gemm,remote,3,4096,64,4096,64,1,1.032800,2079.2832,2048,9.000000
bench_software_dsmem_gemm,remote,4,4096,64,4096,64,1,1.033536,2077.8026,2048,9.000000
bench_software_dsmem_gemm,remote,5,4096,64,4096,64,1,1.033600,2077.6739,2048,9.000000
bench_software_dsmem_gemm,remote,6,4096,64,4096,64,1,1.034720,2075.4250,2048,9.000000
bench_software_dsmem_gemm,remote,7,4096,64,4096,64,1,1.033472,2077.9313,2048,9.000000
bench_software_dsmem_gemm,remote,8,4096,64,4096,64,1,1.030624,2083.6732,2048,9.000000
bench_software_dsmem_gemm,remote,9,4096,64,4096,64,1,1.033696,2077.4807,2048,9.000000
bench_software_dsmem_gemm,local,0,4096,64,4096,64,2,0.627840,3420.4315,2048,9.000000
bench_software_dsmem_gemm,local,1,4096,64,4096,64,2,0.626144,3429.6962,2048,9.000000
bench_software_dsmem_gemm,local,2,4096,64,4096,64,2,0.627552,3422.0013,2048,9.000000
bench_software_dsmem_gemm,local,3,4096,64,4096,64,2,0.623680,3443.2460,2048,9.000000
