benchmark,dtype,mode,streams,loop_iters,unroll,repeats,mean_cycles,median_cycles,stddev_cycles,hmma_steps_per_mma,mean_cycles_per_mma,median_cycles_per_mma,stddev_cycles_per_mma,min_cycles_per_mma,max_cycles_per_mma,mean_cycles_per_hmma_step
bench_empty,none,empty,0,4096,1,10,286810.50,286780.00,49.18,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,16,10,819334.40,819340.50,40.46,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,2,10,286804.40,286780.00,40.46,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,4,10,393312.60,393276.00,48.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,8,10,565331.50,565331.50,30.50,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,1,10,254022.60,253986.00,55.91,2,62.01723633,62.00830078,0.01364928,62.00830078,62.03808594,31.00861816
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,16,10,254016.50,253986.00,49.18,2,3.87598419,3.87551880,0.00075042,3.87551880,3.87738037,1.93799210
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,2,10,254010.40,253986.00,48.80,2,31.00712891,31.00415039,0.00595703,31.00415039,31.01904297,15.50356445
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,4,10,254004.30,253986.00,39.06,2,15.50319214,15.50207520,0.00238397,15.50207520,15.50952148,7.75159607
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,8,10,254004.30,253986.00,39.06,2,7.75159607,7.75103760,0.00119199,7.75103760,7.75476074,3.87579804
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,1,10,340033.40,340009.00,40.46,4,83.01596680,83.01000977,0.00987862,83.01000977,83.03979492,20.75399170
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,16,10,1290346.30,1290328.00,27.95,4,19.68912201,19.68884277,0.00042654,19.68884277,19.68977356,4.92228050
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,2,10,397401.80,397383.50,53.18,4,48.51096191,48.50872802,0.00649153,48.50500488,48.51989746,12.12774048
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,4,10,520275.80,520288.00,45.65,4,31.75511475,31.75585938,0.00278615,31.75213623,31.75958252,7.93877869
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,8,10,774229.90,774236.00,32.85,4,23.62762146,23.62780762,0.00100249,23.62594604,23.62966919,5.90690537
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,2,4096,1,10,405574.40,405550.00,40.46,4,49.50859375,49.50561523,0.00493931,49.50561523,49.52050781,12.37714844
