benchmark,mode,loop_iters,unroll,streams,mean_cycles,matched_empty_mean_cycles,delta_cycles,dep_mean_cycles_per_mma,matched_empty_mean_cycles_per_mma,delta_cycles_per_mma,delta_cycles_per_hmma_step
bench_mma_f16_dep,dep,4096,1,1,454725.30,254022.60,200702.70,111.01691894,62.01723633,48.99968261,24.49984130
bench_mma_f16_dep,dep,4096,16,1,761938.80,254016.50,507922.30,11.62626343,3.87598419,7.75027924,3.87513962
bench_mma_f16_dep,dep,4096,2,1,462935.40,254010.40,208925.00,56.51066894,31.00712891,25.50354003,12.75177002
bench_mma_f16_dep,dep,4096,4,1,467025.50,254004.30,213021.20,28.50497437,15.50319214,13.00178223,6.50089111
bench_mma_f16_dep,dep,4096,8,1,458832.50,254004.30,204828.20,14.00245667,7.75159607,6.25086060,3.12543030
bench_mma_f32acc,fixedc,4096,1,1,397390.40,340033.40,57357.00,97.01914063,83.01596680,14.00317383,3.50079346
bench_mma_f32acc,fixedc_indep,4096,1,2,700501.00,405574.40,294926.60,85.51037598,49.50859375,36.00178223,9.00044556
bench_mma_f32acc,fixedc_indep,4096,1,4,1171566.20,536678.90,634887.30,71.50672608,32.75628052,38.75044556,9.68761139
bench_mma_f32acc,fixedc_indep,4096,1,8,577630.70,798967.70,-221337.00,17.62789001,24.38255920,-6.75466919,-1.68866730
bench_mma_f32acc,fixedc,4096,16,1,335961.50,1290346.30,-954384.80,5.12636566,19.68912201,-14.56275635,-3.64068909
bench_mma_f32acc,fixedc_indep,4096,16,2,618570.30,2351280.50,-1732710.20,4.71931686,17.93884659,-13.21952973,-3.30488243
bench_mma_f32acc,fixedc_indep,4096,16,4,991355.40,4448550.40,-3457195.00,3.78172074,16.96987305,-13.18815231,-3.29703808
bench_mma_f32acc,fixedc_indep,4096,16,8,1740972.40,15479093.40,-13738121.00,3.32064133,29.52402763,-26.20338630,-6.55084657
bench_mma_f32acc,fixedc,4096,2,1,376910.50,397401.80,-20491.30,46.00958252,48.51096191,-2.50137939,-0.62534485
bench_mma_f32acc,fixedc_indep,4096,2,2,680015.30,528461.60,151553.70,41.50484009,32.25473633,9.25010376,2.31252594
bench_mma_f32acc,fixedc_indep,4096,2,4,1126504.30,790625.90,335878.40,34.37818298,24.12798767,10.25019531,2.56254883
bench_mma_f32acc,fixedc_indep,4096,2,8,868465.20,1315070.90,-446605.70,13.25172729,20.06638947,-6.81466218,-1.70366555
bench_mma_f32acc,fixedc,4096,4,1,364628.50,520275.80,-155647.30,22.25515747,31.75511475,-9.49995728,-2.37498932
bench_mma_f32acc,fixedc_indep,4096,4,2,659541.80,782438.10,-122896.30,20.12761841,23.87811585,-3.75049744,-0.93762436
bench_mma_f32acc,fixedc_indep,4096,4,4,1081448.70,1306746.40,-225297.70,16.50159759,19.93936768,-3.43777009,-0.85944252
bench_mma_f32acc,fixedc_indep,4096,4,8,1159290.30,3007008.40,-1847718.10,8.84468308,22.94165344,-14.09697036,-3.52424259
bench_mma_f32acc,fixedc,4096,8,1,340052.60,774229.90,-434177.30,10.37758179,23.62762146,-13.25003967,-3.31250992
bench_mma_f32acc,fixedc_indep,4096,8,2,634973.70,1298548.40,-663574.70,9.68892975,19.81427612,-10.12534637,-2.53133659
bench_mma_f32acc,fixedc_indep,4096,8,4,1036406.30,2375846.30,-1339440.00,7.90715256,18.12626877,-10.21911621,-2.55477905
bench_mma_f32acc,fixedc_indep,4096,8,8,1450125.90,5124225.10,-3674099.20,5.53179131,19.54736748,-14.01557617,-3.50389404
