benchmark,dtype,mode,streams,repeat,loop_iters,unroll,total_mma,cycles,cycles_per_mma,sink_lo,sink_hi
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,1,4096,1,32768,581680,17.75146484,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,2,4096,1,32768,581802,17.75518799,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,3,4096,1,32768,581802,17.75518799,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4,4096,1,32768,581680,17.75146484,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,5,4096,1,32768,581802,17.75518799,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,6,4096,1,32768,581680,17.75146484,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,7,4096,1,32768,581741,17.75332642,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,8,4096,1,32768,581741,17.75332642,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,9,4096,1,32768,581680,17.75146484,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,0,4096,1,4096,397354,97.01025391,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,1,4096,1,4096,397414,97.02490234,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,2,4096,1,4096,397354,97.01025391,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,3,4096,1,4096,397476,97.04003906,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,4,4096,1,4096,397354,97.01025391,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,5,4096,1,4096,397354,97.01025391,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,6,4096,1,4096,397475,97.03979492,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,7,4096,1,4096,397354,97.01025391,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,8,4096,1,4096,397415,97.02514648,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,9,4096,1,4096,397354,97.01025391,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,0,4096,1,8192,700512,85.51171875,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,1,4096,1,8192,700512,85.51171875,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,2,4096,1,8192,700573,85.51916504,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,3,4096,1,8192,700455,85.50476074,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,4,4096,1,8192,700512,85.51171875,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,5,4096,1,8192,700512,85.51171875,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,6,4096,1,8192,700455,85.50476074,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,7,4096,1,8192,700512,85.51171875,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,8,4096,1,8192,700512,85.51171875,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,2,9,4096,1,8192,700455,85.50476074,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,0,4096,1,16384,1171554,71.50598145,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,1,4096,1,16384,1171617,71.50982666,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,2,4096,1,16384,1171554,71.50598145,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,3,4096,1,16384,1171554,71.50598145,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,4,4096,1,16384,1171554,71.50598145,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,5,4096,1,16384,1171613,71.50958252,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,6,4096,1,16384,1171554,71.50598145,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,7,4096,1,16384,1171554,71.50598145,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,8,4096,1,16384,1171554,71.50598145,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc_indep,4,9,4096,1,16384,1171554,71.50598145,0,0
